,user,course,account,year,progress
0,1859834,489074,3883,2019,24.0
1,1859834,489059,3883,2019,33.33
2,1984563,489074,3883,2019,76.24
3,1984563,502821,3866,2020,91.68
4,1984563,502000,3837,2020,86.92
5,1984563,502793,3883,2020,56.18
6,1984563,502828,3866,2020,64.71
7,1814482,441052,3821,2017,4.57
8,1814482,441051,3821,2017,7.45
9,1814482,441054,3821,2017,83.17
10,1814482,447429,3821,2017,100.0
11,1814482,441055,3821,2017,9.93
12,1984559,511578,3945,2020,77.47
13,1984559,511579,3945,2020,96.72
14,1984559,501882,3945,2020,25.0
15,1844993,470580,3945,2018,97.7
16,1844993,470580,3945,2018,97.7
17,1923063,489059,3883,2019,33.33
18,1923063,489074,3883,2019,18.0
19,1807786,447430,3821,2017,100.0
20,1807786,441051,3821,2017,3.31
21,1879230,489291,3944,2019,1.15
22,1879230,502610,3944,2020,22.35
23,1879230,502611,3944,2020,23.96
24,1825491,489197,3821,2019,22.94
25,1825491,489200,3821,2019,86.55
26,1825491,489211,3821,2019,33.39
27,1825491,489210,3821,2019,100.0
28,1825491,489269,3821,2019,100.0
29,1825491,502308,3821,2020,96.46
30,1629002,489099,3839,2019,44.45
31,1629002,511033,3839,2020,100.0
32,1918994,489124,3834,2019,39.92
33,1868561,470751,3848,2018,49.79
34,1868561,489384,3848,2018,8.68
35,1919377,488508,3819,2019,55.06
36,2004599,502119,3834,2020,10.51
37,1860935,488517,3819,2019,3.97
38,1860935,501911,3819,2020,25.0
39,1860935,501974,3819,2020,40.0
40,1860935,501961,3819,2020,0.18
41,1807800,441005,3820,2017,5.17
42,1902489,489124,3834,2019,95.7
43,1902489,489076,3834,2019,66.7
44,1902489,502129,3834,2020,2.5
45,1775164,440996,3820,2017,100.0
46,1775164,441018,3820,2017,89.5
47,1607615,416976,3838,2015,100.0
48,1618929,416720,3824,2016,60.44
49,1756358,417892,3834,2016,76.79
50,1890601,489124,3834,2019,58.97
51,1827703,440939,3824,2017,9.62
52,1844942,447108,3820,2017,24.53
53,1992631,501894,3820,2020,16.67
54,1992631,502167,3820,2020,66.78
55,1640840,470580,3945,2018,97.45
56,1852613,470901,3821,2018,8.16
57,1852613,489384,3848,2018,73.83
58,1852613,470909,3821,2018,100.0
59,1852613,470898,3821,2018,100.0
60,1852613,470895,3821,2018,38.41
61,1992100,502821,3866,2020,55.88
62,1992100,502828,3866,2020,94.12
63,1992100,502826,3866,2020,35.29
64,1932554,497292,3834,2019,6.23
65,1890076,501904,3866,2020,16.67
66,1850836,501898,3834,2020,25.0
67,1804513,445908,3883,2017,96.47
68,1804513,445897,3883,2017,0.11
69,1853400,469751,3883,2018,61.44
70,1853400,469751,3883,2018,61.44
71,1853400,470998,3883,2018,42.63
72,1989139,501962,3819,2020,75.83
73,1808926,445908,3883,2017,96.47
74,1808926,445897,3883,2017,0.28
75,1808926,470998,3883,2018,66.99
76,1981241,501959,3819,2020,4.66
77,1981241,501962,3819,2020,22.5
78,1853263,469751,3883,2018,92.31
79,1853263,470998,3883,2018,91.36
80,1621213,472576,3838,2018,55.16
81,1858507,489076,3834,2019,59.76
82,1824116,501944,3833,2020,6.91
83,1898924,489197,3821,2019,52.09
84,1898924,489229,3821,2019,92.93
85,1898924,489190,3821,2019,100.0
86,1898924,489210,3821,2019,100.0
87,1898924,489213,3821,2019,100.0
88,1898924,489225,3821,2019,46.64
89,1830970,472576,3838,2018,66.37
90,1830970,472578,3838,2018,100.0
91,1510736,470563,3843,2018,1.48
92,1510736,498206,3843,2019,0.17
93,1510736,488903,3843,2019,100.0
94,1510736,501908,3843,2020,25.0
95,1892448,488510,3819,2019,0.18
96,1869504,470998,3883,2018,97.44
97,1869504,472576,3838,2018,21.52
98,1919132,502119,3834,2020,9.47
99,1920046,488508,3819,2019,42.88
100,1921194,489663,3830,2019,3.28
101,1921194,488894,3830,2019,4.1
102,1921194,488885,3830,2019,15.0
103,1839635,471202,3835,2018,55.94
104,1996726,516172,3835,2020,18.16
105,1895812,488778,3838,2019,72.43
106,1895812,488788,3838,2019,29.95
107,1867140,488542,3837,2019,20.0
108,1867140,488545,3837,2019,20.0
109,1867140,501939,3837,2020,25.0
110,1858251,489384,3848,2018,45.64
111,1994690,502119,3834,2020,14.55
112,1723896,470564,3843,2018,55.18
113,1723896,470562,3843,2018,1.64
114,1723896,470565,3843,2018,0.75
115,1723896,488903,3843,2019,38.17
116,1723896,488895,3843,2019,27.85
117,1723896,488896,3843,2019,2.89
118,1723896,498206,3843,2019,0.17
119,1723896,488890,3843,2019,0.7
120,1996155,502309,3821,2020,100.0
121,1996155,502305,3821,2020,1.67
122,1996155,523717,3821,2020,51.66
123,1761372,416919,3820,2016,78.44
124,1566663,416722,3824,2016,100.0
125,1984846,502808,3840,2020,7.4
126,1900367,488932,3866,2019,88.5
127,1900367,502828,3866,2020,94.11
128,1900367,502826,3866,2020,35.3
129,1992772,502821,3866,2020,57.35
130,1992772,502828,3866,2020,94.12
131,1992772,502826,3866,2020,97.06
132,1825502,489197,3821,2019,22.94
133,1825502,489200,3821,2019,94.84
134,1825502,489211,3821,2019,33.01
135,1806586,489226,3944,2019,8.1
136,1806586,489242,3944,2019,60.54
137,1998582,502119,3834,2020,16.13
138,1895348,489083,3824,2019,98.55
139,1867102,501868,3947,2020,16.67
140,1867193,489209,3820,2019,100.0
141,1526097,416730,3824,2016,100.0
142,1526097,416731,3824,2016,100.0
143,1860130,489069,3834,2019,39.53
144,1860130,501962,3819,2020,25.83
145,1902476,489124,3834,2019,67.82
146,1896348,502161,3820,2020,37.67
147,1896348,501894,3820,2020,8.33
148,1984477,502569,3848,2020,42.29
149,1856050,489124,3834,2019,20.17
150,1749122,502365,3824,2020,38.15
151,1810427,440936,3825,2017,100.0
152,1810427,489384,3848,2018,75.25
153,1935823,488517,3819,2019,86.07
154,1935823,501911,3819,2020,25.0
155,1935823,501962,3819,2020,98.34
156,1935823,501960,3819,2020,7.8
157,1881685,501957,3832,2020,28.33
158,1607185,416976,3838,2015,100.0
159,1895874,488778,3838,2019,60.91
160,1895874,488788,3838,2019,48.31
161,1897958,489074,3883,2019,68.42
162,1897958,489059,3883,2019,50.0
163,1897958,489112,3883,2019,4.29
164,1897958,489074,3883,2019,68.42
165,2007454,502119,3834,2020,13.58
166,1618524,520843,3946,2020,63.8
167,1618524,520844,3946,2020,15.05
168,1805455,511578,3945,2020,78.01
169,1805455,511579,3945,2020,56.84
170,1805455,501882,3945,2020,25.0
171,1836706,502860,3840,2020,33.0
172,1836706,511028,3839,2020,28.57
173,1858833,469751,3883,2018,69.28
174,1858833,469749,3883,2018,46.27
175,1896157,489213,3821,2019,100.0
176,1896157,489197,3821,2019,22.94
177,1896157,489200,3821,2019,87.89
178,1896157,489211,3821,2019,33.81
179,1994761,516172,3835,2020,18.86
180,1587642,456171,3911,2017,1.0
181,1891086,489124,3834,2019,44.21
182,1600695,502119,3834,2020,53.53
183,1600695,501898,3834,2020,25.0
184,2002607,502119,3834,2020,4.99
185,1846309,502198,3820,2020,1.23
186,1889684,488517,3819,2019,52.31
187,1889684,501969,3819,2020,86.75
188,1889684,501970,3819,2020,38.97
189,1889684,501938,3832,2020,25.0
190,1889684,502029,3832,2020,89.13
191,1668164,470751,3848,2018,56.77
192,1927694,498240,3843,2019,21.32
193,1841115,501932,3824,2020,51.67
194,1841115,502362,3824,2020,18.44
195,1853509,469751,3883,2018,92.17
196,1853509,469751,3883,2018,92.17
197,1850165,511034,3911,2020,16.67
198,1850165,501928,3911,2020,49.99
199,1850165,501931,3911,2020,41.91
200,1836206,511578,3945,2020,78.87
201,1836206,511579,3945,2020,97.66
202,1836206,501882,3945,2020,25.0
203,1852378,472576,3838,2018,66.37
204,1993277,502000,3837,2020,11.72
205,1898438,488778,3838,2019,68.31
206,1898438,488788,3838,2019,48.72
207,1894467,488472,3911,2019,18.58
208,1869737,488542,3837,2019,20.0
209,1869737,488545,3837,2019,20.0
210,1895350,502362,3824,2020,33.09
211,2000119,501962,3819,2020,5.0
212,2000119,502740,3839,2020,36.25
213,1992189,502362,3824,2020,57.33
214,1897959,489124,3834,2019,44.2
215,1666507,488517,3819,2019,42.18
216,1666507,501909,3819,2020,25.0
217,1726871,502002,3837,2020,30.0
218,1726871,488502,3837,2019,11.1
219,1726871,502017,3837,2020,12.67
220,1809123,440942,3824,2017,50.27
221,1991737,501921,3911,2020,96.92
222,1991737,501930,3911,2020,60.2
223,1991737,501923,3911,2020,58.82
224,1621830,416729,3824,2016,5.9
225,1869802,520870,3838,2020,36.81
226,1904038,489124,3834,2019,91.56
227,1904038,489124,3834,2019,91.56
228,1994691,502029,3832,2020,13.01
229,1715948,489043,3839,2019,100.0
230,1593703,416720,3824,2016,93.86
231,1888496,488802,3829,2019,6.59
232,1888496,488781,3829,2019,13.11
233,1888496,488809,3829,2019,1.61
234,1888496,502150,3829,2020,41.63
235,1756149,441147,3843,2017,33.05
236,1756149,441145,3843,2017,5.99
237,1756149,470565,3843,2018,100.0
238,1756149,470563,3843,2018,5.74
239,1996335,501961,3819,2020,16.67
240,1896291,488474,3911,2019,91.22
241,1896291,488475,3911,2019,45.01
242,1896291,488472,3911,2019,100.0
243,1896291,488464,3911,2019,91.81
244,1896291,488462,3911,2019,100.0
245,1896291,488469,3911,2019,100.0
246,1671494,416919,3820,2016,31.04
247,1849117,441064,3819,2017,93.83
248,1904109,502821,3866,2020,92.15
249,1853257,470953,3824,2018,94.13
250,1992112,502793,3883,2020,64.84
251,1992112,516172,3835,2020,18.15
252,1993960,516173,3836,2020,37.22
253,1993960,501922,3836,2020,33.33
254,1865140,472576,3838,2018,21.52
255,1836412,501960,3819,2020,7.75
256,1836412,502022,3832,2020,24.12
257,1908306,488778,3838,2019,23.87
258,1908306,488788,3838,2019,68.94
259,1879164,488517,3819,2019,3.97
260,1879164,488534,3819,2019,72.85
261,1879164,488504,3819,2019,40.11
262,1879164,501911,3819,2020,25.0
263,1582156,511570,3827,2020,82.53
264,1582156,511571,3827,2020,68.12
265,1582156,511572,3827,2020,62.57
266,1582156,511573,3827,2020,64.37
267,1582156,511573,3827,2020,64.37
268,1582156,501871,3827,2020,25.86
269,1582156,501871,3827,2020,25.86
270,1688084,440949,3824,2017,100.0
271,1688084,440939,3824,2017,10.05
272,1996157,516172,3835,2020,18.15
273,1925377,511033,3839,2020,100.0
274,1925377,502215,3839,2020,100.0
275,2000126,501959,3819,2020,48.34
276,2000126,501959,3819,2020,48.34
277,2000126,502022,3832,2020,7.83
278,1829397,440936,3825,2017,100.0
279,1855495,488778,3838,2019,27.99
280,1855495,488778,3838,2019,27.99
281,1855495,488778,3838,2019,27.99
282,1855495,488788,3838,2019,49.35
283,1799107,447430,3821,2017,100.0
284,1799107,441051,3821,2017,6.3
285,1799107,441052,3821,2017,11.42
286,1988084,502720,3830,2020,100.0
287,1988084,502722,3830,2020,46.45
288,1988084,502723,3830,2020,3.55
289,1674556,417154,3821,2016,11.09
290,1674556,417157,3821,2016,89.32
291,1674556,417158,3821,2016,8.67
292,1829340,441158,3840,2017,38.15
293,1930626,501959,3819,2020,85.07
294,1930626,501962,3819,2020,32.83
295,1717841,488517,3819,2019,2.34
296,1853508,489384,3848,2018,46.19
297,1890659,473686,3820,2018,22.41
298,1993204,502821,3866,2020,56.37
299,1993204,502828,3866,2020,94.12
300,1993204,502826,3866,2020,97.05
301,1571279,416725,3824,2016,100.0
302,1851233,470546,3824,2018,99.49
303,1851233,470549,3824,2018,100.0
304,1666167,445903,3883,2017,99.5
305,1666167,445907,3883,2017,97.25
306,1515074,470851,3840,2018,82.56
307,1515074,489166,3840,2019,99.23
308,1515074,489135,3840,2019,56.08
309,1564337,440947,3824,2017,100.0
310,1888240,501888,3848,2020,34.78
311,1888240,511092,3848,2020,10.25
312,1840710,489213,3821,2019,81.47
313,1840710,489197,3821,2019,22.94
314,1840710,489200,3821,2019,51.17
315,1840710,489211,3821,2019,1.74
316,1840710,501867,3821,2020,16.67
317,1840710,489187,3821,2019,100.0
318,1840710,502309,3821,2020,35.99
319,1210587,441005,3820,2017,18.11
320,1914132,489085,3824,2019,35.99
321,1750061,441110,3834,2017,0.13
322,1895086,490826,3843,2019,8.84
323,1895086,488883,3843,2019,43.68
324,1994673,501959,3819,2020,3.55
325,1994673,501959,3819,2020,3.55
326,1994673,501960,3819,2020,66.14
327,1994673,501962,3819,2020,21.66
328,1877523,470265,3820,2018,58.56
329,1877523,470266,3820,2018,89.45
330,1877523,470300,3820,2018,100.0
331,1866563,489063,3839,2019,1.09
332,1866563,502837,3840,2020,66.0
333,1867006,488801,3838,2019,78.08
334,1867006,520875,3838,2020,16.2
335,1668068,501898,3834,2020,16.67
336,1829880,470790,3839,2018,100.0
337,1641994,441094,3848,2017,79.51
338,1938055,502362,3824,2020,74.3
339,1733966,440941,3824,2017,90.51
340,1987116,488530,3819,2019,93.69
341,1987116,501963,3819,2020,83.17
342,1993278,502821,3866,2020,58.33
343,1507313,502119,3834,2020,52.9
344,1507313,501898,3834,2020,8.33
345,1992764,502305,3821,2020,18.1
346,1888842,488778,3838,2019,72.42
347,1888842,488788,3838,2019,54.81
348,1810429,440936,3825,2017,100.0
349,1595345,488517,3819,2019,42.19
350,1595345,501975,3819,2020,2.08
351,1595345,501974,3819,2020,85.56
352,1595345,501911,3819,2020,25.0
353,1595345,501963,3819,2020,24.95
354,1805453,470998,3883,2018,48.72
355,1807810,445908,3883,2017,96.47
356,1807810,445897,3883,2017,0.28
357,1807810,445909,3883,2017,51.22
358,1841018,470706,3825,2018,100.0
359,1992613,502720,3830,2020,20.0
360,1992613,502723,3830,2020,11.01
361,1578029,441154,3843,2017,4.52
362,1892394,488558,3819,2019,48.89
363,1892394,501909,3819,2020,25.0
364,1547156,470263,3820,2018,100.0
365,1547156,501894,3820,2020,8.33
366,1547156,502177,3820,2020,5.88
367,1547156,502197,3820,2020,14.79
368,1868353,470263,3820,2018,43.97
369,1868353,470266,3820,2018,84.16
370,1868353,502191,3820,2020,27.6
371,1985294,502364,3824,2020,62.14
372,1985294,502369,3824,2020,32.71
373,1849680,470751,3848,2018,33.53
374,1849680,489384,3848,2018,91.42
375,1854647,489663,3830,2019,7.7
376,1854647,488894,3830,2019,20.0
377,1854647,488885,3830,2019,9.92
378,1854647,511033,3839,2020,75.21
379,1854647,502215,3839,2020,58.83
380,1869509,489384,3848,2018,39.89
381,1869509,470751,3848,2018,46.12
382,1836617,441052,3821,2017,4.56
383,1836617,441051,3821,2017,7.45
384,1836617,441054,3821,2017,52.8
385,1840997,489124,3834,2019,9.44
386,1914969,488475,3911,2019,4.13
387,1914969,488472,3911,2019,51.83
388,1793272,445897,3883,2017,0.19
389,1793272,445908,3883,2017,96.46
390,1918755,488788,3838,2019,0.6
391,1918755,488823,3838,2019,1.38
392,2007382,501880,3835,2020,33.33
393,2007382,516173,3836,2020,33.67
394,1867004,472576,3838,2018,29.59
395,1996159,502362,3824,2020,35.51
396,1879452,489702,3832,2019,67.18
397,1664373,470265,3820,2018,8.29
398,1836365,440996,3820,2017,100.0
399,1836365,441017,3820,2017,100.0
400,1895808,470559,3843,2018,1.01
401,1895808,490826,3843,2019,53.06
402,1895808,488881,3843,2019,62.15
403,1895808,502588,3843,2020,3.85
404,1895808,502591,3843,2020,8.99
405,1897299,489074,3883,2019,92.11
406,1897299,488778,3838,2019,44.44
407,1900388,489124,3834,2019,72.1
408,1919443,490826,3843,2019,7.44
409,1919443,498240,3843,2019,29.41
410,1919443,488896,3843,2019,1.59
411,1920397,501944,3833,2020,47.41
412,1920397,501874,3833,2020,1.09
413,1920397,501886,3833,2020,40.0
414,1992776,520870,3838,2020,91.31
415,1768634,516219,3842,2020,89.14
416,1768634,501875,3842,2020,25.0
417,1557134,502821,3866,2020,90.19
418,1993281,502827,3840,2020,20.63
419,1892433,488498,3819,2019,31.39
420,1866007,470263,3820,2018,34.48
421,2001194,502828,3866,2020,94.12
422,2001194,502826,3866,2020,97.06
423,1875264,489124,3834,2019,66.37
424,1875264,497292,3834,2019,6.27
425,1897966,489124,3834,2019,50.64
426,1826271,470700,3825,2018,49.06
427,1992777,502362,3824,2020,62.35
428,1561624,511578,3945,2020,77.02
429,1561624,511579,3945,2020,56.77
430,1561624,501882,3945,2020,25.0
431,1875262,472576,3838,2018,21.52
432,1875262,489209,3820,2019,87.08
433,1899184,489124,3834,2019,69.96
434,1662238,511571,3827,2020,73.13
435,1662238,511570,3827,2020,81.8
436,1662238,511572,3827,2020,62.61
437,1662238,511573,3827,2020,64.18
438,1662238,511573,3827,2020,64.18
439,1662238,501871,3827,2020,25.86
440,1662238,501871,3827,2020,25.86
441,1901057,489124,3834,2019,69.96
442,1900289,488475,3911,2019,72.04
443,1900289,511034,3911,2020,16.67
444,1900289,501928,3911,2020,13.41
445,1895868,488517,3819,2019,46.36
446,1895868,488508,3819,2019,87.01
447,1895868,497028,3819,2019,21.32
448,1992778,520870,3838,2020,73.95
449,1897967,488464,3911,2019,91.69
450,1897967,488462,3911,2019,39.63
451,1897967,488469,3911,2019,49.99
452,1897967,488475,3911,2019,10.31
453,1897967,488472,3911,2019,51.83
454,1988367,488778,3838,2019,91.76
455,1988367,488788,3838,2019,5.85
456,1644653,416938,3834,2016,66.62
457,1900378,489124,3834,2019,82.83
458,1900378,501961,3819,2020,47.98
459,1854761,489384,3848,2018,74.57
460,1842151,489112,3883,2019,17.13
461,1998586,502119,3834,2020,4.88
462,1842150,489074,3883,2019,84.3
463,1842150,489059,3883,2019,66.66
464,1842150,489074,3883,2019,84.3
465,1842150,489112,3883,2019,12.86
466,1923285,489059,3883,2019,33.33
467,1923285,489074,3883,2019,24.0
468,1841273,488474,3911,2019,90.66
469,1841273,488475,3911,2019,39.75
470,1841273,488472,3911,2019,79.36
471,1841273,488464,3911,2019,87.59
472,1841273,488462,3911,2019,72.67
473,1841273,488469,3911,2019,48.08
474,1841273,488475,3911,2019,39.75
475,1841273,488467,3911,2019,95.77
476,1841273,501928,3911,2020,49.99
477,1841273,501931,3911,2020,84.58
478,1841273,511034,3911,2020,16.67
479,1879909,489209,3820,2019,18.11
480,1920642,502029,3832,2020,13.01
481,1920642,488523,3832,2019,91.78
482,1895371,489058,3824,2019,100.0
483,1895371,489045,3824,2019,19.6
484,1895371,502363,3824,2020,84.68
485,1895371,502364,3824,2020,72.28
486,1854282,471203,3836,2018,99.91
487,1888928,502366,3824,2020,17.62
488,1985634,502720,3830,2020,100.0
489,1985634,502721,3830,2020,20.0
490,1985634,502722,3830,2020,60.0
491,1985634,502723,3830,2020,19.93
492,1825618,445909,3883,2017,97.56
493,1825618,445906,3883,2017,49.92
494,1869160,472576,3838,2018,21.52
495,1849778,469588,3819,2018,98.03
496,1849778,488530,3819,2019,39.67
497,1893426,489209,3820,2019,31.03
498,1866155,501961,3819,2020,27.84
499,1663790,440940,3824,2017,99.91
500,1663790,440948,3824,2017,100.0
501,1663790,440950,3824,2017,100.0
502,1663790,440951,3824,2017,100.0
503,1663790,440952,3824,2017,99.88
504,2004880,502362,3824,2020,29.35
505,1938310,489112,3883,2019,12.86
506,1834432,511570,3827,2020,82.4
507,1834432,511571,3827,2020,72.38
508,1834432,511572,3827,2020,62.49
509,1834432,511573,3827,2020,63.32
510,1834432,511573,3827,2020,63.32
511,1834432,501871,3827,2020,25.86
512,1834432,501871,3827,2020,25.86
513,1988889,501908,3843,2020,25.0
514,1988889,502591,3843,2020,94.45
515,1988889,502588,3843,2020,1.71
516,1798744,488474,3911,2019,91.3
517,1798744,488475,3911,2019,39.02
518,1798744,488472,3911,2019,79.36
519,1798744,488464,3911,2019,86.57
520,1798744,488462,3911,2019,72.58
521,1798744,488469,3911,2019,100.0
522,1798744,488475,3911,2019,39.02
523,1798744,488467,3911,2019,93.48
524,1998000,501944,3833,2020,49.33
525,1998000,501886,3833,2020,42.1
526,1998000,501869,3833,2020,3.44
527,1818047,472576,3838,2018,66.37
528,1818047,472578,3838,2018,7.66
529,1810373,445908,3883,2017,96.46
530,1810373,445897,3883,2017,0.29
531,1810373,445909,3883,2017,48.78
532,1992781,502362,3824,2020,61.42
533,1846727,470546,3824,2018,98.73
534,1860925,488941,3866,2019,98.95
535,1640768,511570,3827,2020,81.97
536,1640768,511571,3827,2020,72.66
537,1640768,511572,3827,2020,61.48
538,1640768,511573,3827,2020,64.48
539,1640768,511573,3827,2020,64.48
540,1640768,501871,3827,2020,25.86
541,1640768,501871,3827,2020,25.86
542,1812264,445908,3883,2017,96.46
543,1812264,445897,3883,2017,0.29
544,1830065,472576,3838,2018,21.53
545,1595928,471203,3836,2018,99.91
546,1689217,417154,3821,2016,7.68
547,1689217,417157,3821,2016,89.32
548,1577543,488941,3866,2019,13.68
549,1989137,501962,3819,2020,5.0
550,2008955,502119,3834,2020,1.77
551,1888393,511028,3839,2020,35.71
552,1799112,470547,3824,2018,100.0
553,1891668,470706,3825,2018,100.0
554,1865235,470564,3843,2018,61.49
555,1865235,470562,3843,2018,25.35
556,1865235,470565,3843,2018,9.77
557,1865235,501908,3843,2020,25.0
558,1865235,502589,3843,2020,3.43
559,1897968,501998,3837,2020,10.0
560,1897968,502001,3837,2020,2.7
561,1897968,502004,3837,2020,4.44
562,1897968,502007,3837,2020,11.12
563,1897968,502012,3837,2020,20.0
564,1897968,502013,3837,2020,10.0
565,1897968,502016,3837,2020,14.55
566,1897968,502017,3837,2020,10.23
567,1996339,501961,3819,2020,13.02
568,1988919,502147,3829,2020,27.43
569,1988919,511039,3829,2020,8.34
570,1988919,502184,3829,2020,35.71
571,1895373,489059,3883,2019,66.67
572,1895373,489074,3883,2019,75.72
573,1895373,489112,3883,2019,8.58
574,1895373,502821,3866,2020,56.4
575,1878639,470564,3843,2018,54.6
576,1878639,470562,3843,2018,17.65
577,1878639,488896,3843,2019,1.59
578,1878639,488895,3843,2019,100.0
579,1878639,502599,3843,2020,0.02
580,1878639,502597,3843,2020,0.08
581,1878639,502600,3843,2020,0.08
582,1868562,470998,3883,2018,73.08
583,1853421,470901,3821,2018,43.87
584,1853421,470909,3821,2018,100.0
585,1853421,470898,3821,2018,100.0
586,1853421,470895,3821,2018,38.41
587,1853421,470897,3821,2018,36.9
588,1853421,470902,3821,2018,45.28
589,1853421,471058,3821,2018,36.91
590,1852956,470706,3825,2018,100.0
591,1865391,488778,3838,2019,31.27
592,1865391,488788,3838,2019,56.03
593,1865391,488932,3866,2019,98.85
594,1865391,488941,3866,2019,98.95
595,1865391,501904,3866,2020,16.67
596,1897302,489124,3834,2019,79.82
597,1897302,497292,3834,2019,100.0
598,1897302,489069,3834,2019,51.32
599,1900391,489702,3832,2019,54.7
600,1900391,489702,3832,2019,54.7
601,1994692,502119,3834,2020,23.3
602,1564137,440955,3839,2017,99.84
603,1564137,470794,3839,2018,90.69
604,1992784,502821,3866,2020,56.38
605,1896431,489124,3834,2019,13.73
606,1689485,441029,3820,2017,100.0
607,1812413,440936,3825,2017,100.0
608,1881642,470706,3825,2018,100.0
609,1996161,502119,3834,2020,11.23
610,1897353,488474,3911,2019,87.69
611,1897353,488475,3911,2019,6.2
612,1897353,488472,3911,2019,23.17
613,1878563,490292,3835,2019,18.15
614,1878563,488932,3866,2019,56.32
615,1878563,488778,3838,2019,19.75
616,1818050,489076,3834,2019,100.0
617,1818050,497292,3834,2019,2.68
618,1858768,488542,3837,2019,20.0
619,1858768,488545,3837,2019,20.0
620,1994693,502309,3821,2020,100.0
621,1994693,502305,3821,2020,13.33
622,1994693,523717,3821,2020,66.58
623,1902287,488530,3819,2019,100.0
624,1902287,488520,3819,2019,87.55
625,1902287,501967,3819,2020,100.0
626,1902287,501969,3819,2020,86.75
627,1892414,488498,3819,2019,35.43
628,1892414,501967,3819,2020,85.0
629,1875214,502821,3866,2020,92.66
630,1875214,502828,3866,2020,100.0
631,1875214,502826,3866,2020,100.0
632,1465882,441094,3848,2017,3.78
633,1465882,489384,3848,2018,80.75
634,1898926,501967,3819,2020,44.58
635,1894442,489072,3839,2019,4.12
636,1614262,416723,3824,2016,100.0
637,1896136,488475,3911,2019,71.25
638,1864138,489069,3834,2019,100.0
639,1805764,470998,3883,2018,79.23
640,1805764,469749,3883,2018,38.38
641,1815423,447430,3821,2017,17.38
642,1891361,489124,3834,2019,65.66
643,1900847,489045,3824,2019,60.83
644,1900847,489093,3824,2019,73.12
645,1558365,441121,3834,2017,100.0
646,1991933,501944,3833,2020,20.54
647,1991933,501862,3833,2020,99.1
648,1991933,501886,3833,2020,42.01
649,1991933,501869,3833,2020,3.44
650,1664504,470559,3843,2018,80.62
651,1880638,501938,3832,2020,25.0
652,1880638,501959,3819,2020,40.5
653,1880638,501962,3819,2020,85.84
654,1880638,502022,3832,2020,71.67
655,1880638,502023,3832,2020,4.1
656,1880638,502025,3832,2020,0.09
657,1992787,502793,3883,2020,73.72
658,1847660,489384,3848,2018,93.45
659,1847660,470751,3848,2018,46.0
660,1847660,470753,3848,2018,16.13
661,1847660,470753,3848,2018,16.13
662,1847660,501888,3848,2020,39.13
663,1847660,502581,3848,2020,28.8
664,1820888,489124,3834,2019,95.71
665,1820888,489076,3834,2019,96.92
666,1820888,497292,3834,2019,100.0
667,1820888,502129,3834,2020,29.72
668,1836036,441052,3821,2017,4.57
669,1836036,441051,3821,2017,7.46
670,1836036,441054,3821,2017,83.17
671,1895377,488778,3838,2019,55.96
672,1895377,488788,3838,2019,21.32
673,1793315,445909,3883,2017,48.79
674,1932968,501898,3834,2020,25.0
675,1816288,470267,3820,2018,43.96
676,1816288,473689,3820,2018,99.67
677,1816288,470291,3820,2018,4.52
678,1816288,489290,3820,2019,90.91
679,1816288,489219,3820,2019,74.51
680,1816288,489252,3820,2019,90.5
681,1993959,516173,3836,2020,38.86
682,1993959,501922,3836,2020,33.33
683,1993282,502362,3824,2020,100.0
684,1993282,502363,3824,2020,88.12
685,1896613,489197,3821,2019,22.94
686,1896613,489200,3821,2019,86.82
687,1896613,489211,3821,2019,32.49
688,1829008,488517,3819,2019,1.99
689,1829008,501911,3819,2020,25.0
690,1829008,501961,3819,2020,89.01
691,1860936,501904,3866,2020,16.67
692,1700950,456171,3911,2017,0.99
693,1996163,501962,3819,2020,42.49
694,1897975,489124,3834,2019,46.35
695,1981388,502154,3820,2020,47.41
696,1805729,488517,3819,2019,1.99
697,1898566,502000,3837,2020,86.98
698,1898566,502002,3837,2020,100.0
699,1841139,470951,3824,2018,86.88
700,1841139,470549,3824,2018,50.89
701,1996164,501957,3832,2020,15.26
702,1809122,445908,3883,2017,96.47
703,1809122,445897,3883,2017,0.31
704,1888493,489124,3834,2019,100.0
705,1888493,489069,3834,2019,100.0
706,1888493,489076,3834,2019,100.0
707,1888493,489182,3834,2019,53.46
708,1836472,445906,3883,2017,66.56
709,1664951,462483,3840,2017,100.0
710,1885002,489243,3945,2019,50.35
711,1890697,489124,3834,2019,93.57
712,1890697,502115,3834,2020,100.0
713,1890697,489076,3834,2019,100.0
714,1890697,502110,3834,2020,100.0
715,1890697,502105,3834,2020,42.68
716,1890697,502129,3834,2020,8.29
717,1996165,502793,3883,2020,82.07
718,1999971,502119,3834,2020,53.72
719,1953639,501904,3866,2020,33.33
720,1953639,502843,3866,2020,16.18
721,1892087,488508,3819,2019,79.3
722,1895379,489124,3834,2019,74.25
723,1895379,502815,3840,2020,16.3
724,1850629,469751,3883,2018,61.59
725,1850629,469751,3883,2018,61.59
726,1850629,470998,3883,2018,12.18
727,1994694,502362,3824,2020,42.82
728,1992788,502000,3837,2020,20.39
729,1830522,511571,3827,2020,72.54
730,1830522,511570,3827,2020,81.9
731,1830522,511572,3827,2020,62.54
732,1830522,511573,3827,2020,64.47
733,1830522,511573,3827,2020,64.47
734,1830522,501871,3827,2020,25.86
735,1830522,501871,3827,2020,25.86
